GENERO,DESCRICAO
LIVRO,LIVRO - FILHOS DE HURIN, OS PC
VESTUARIO FEMININO,CAMISETA MALHA RIBANA 14 PRETO REATIVO PC
REFRIGERANTE,REFRIG.KUAT LT 350ML
CABELO,TINT IND CR YAMA FASHION 60G 9.12 LR MT(E)
ROSTO,CREME CLARIN 100G FLORA PURA
ROSTO,AVON CARE FRESH GEL CREME FACIAL MINI 15G
VINHO,VINHO QUINTA DO MORGADO TTO SUAVE 2L
CEREAL,FLOCAO DE ARROZ SAO BRAZ 500G
TEMPERO,ALHO NACIONAL ** KG
MEDICAMENTO NAO CLASSIFICADO,EXTRATO PROPOLIS 20ML (ARTE )
REFRIGERANTE,REF.ANTARCTICA GUARANA PET BDJ 1 X 12 600ML
SIMILAR,NISTATINA + OXIDO DE ZINCO POM 60G GEN
SIMILAR,CAPTOLAB 25MG CX/ 30 CPR (CAPTOPRIL) (MULTILAB)
ALIMENTO EM CONSERVA,ERVILHA/MILHO QUERO LATA LTA 1 X 1 200G
SIMILAR,FLORATIL 200MG PO ORAL 6 SAC 101 CX
CABELO,SH.PANTENE 200ML BRILHO EXTREMO
CHA,CHA MATTE LEAO SOLUVEL 50G
CABELO,COND PANTENE LISO EXTREMO 400ML 1
MATERIAL PARA CONSTRUCAO,REGISTRO ESFERA SOLDAVEL 40MM PREDIAL PC
TEMPERO,TEMPERO S/PIMENTA ARISCO 1KG
PRODUTO DESCARTAVEL,COPO MARATA CM 250 P/CERVEJA 20 X 100 2000 UN CX
CERVEJA,CERVEJA SKOL ONE WAY 300ML
SIMILAR,CUTISANOL PO 150G 104 BG
MATERIAL PARA ESCRITORIO E ESCOLAR,GIZ CERA ACRILEX C 12 09012
ALIMENTO PARA ANIMAL,CANITOS CARNE E OSSINHOS 20 KG SC
CAMA MESA E BANHO,CREMER TOALHA LUXO BCA 70X120 C/3 CX/12 CX
TEMPERO,CALDO KNORR COSTELA CXT 1 X 10 57G
SIMILAR,TOPISON POM 20G 102 BG
PRODUTO FARMACEUTICO,ATAD. GESSADA CYSNE 20CMX4M CREMER CX 20UN (CREME)
SANDALIA,SANDALIA MELISSA VERDE/PRET PR
PRODUTO FARMACEUTICO,ASPIRADOR NASAL LILLO 654120 AZUL
ALIMENTO PARA ANIMAL,RACAO PAPAGAIO PREMIX 8 KG
REFERENCIA,DECADRON 0 75MG 20 COMP 104 CX
CORPO,SAB.PARIGGI SEDUCTION 72X90 G CX
MATERIAL PARA CONSTRUCAO,LAVATORIO PLASTICO 50X40CM 8 LTS
REFRIGERANTE,REFRI FREVO 250ML UVA
CABELO,MASC. ARGAN 250G
CARNE BOVINA,MAMINHA (RESFRIADA-MASTERBOI) KG
DOCE E SOBREMESA,TORTA SONHO VALSA VO DEDE KG
PRODUTO DE LIMPEZA,DET. PO TIXAN PRIMAVERA 24X500G CX
AGUA,AGUA MINERAL LITORAGUA 20L
HIDROTONICO,HIDROTONICO I9 500ML LIMAO
MEDICAMENTO NAO CLASSIFICADO,GEN NEOMICINA+BACIT POM 15G 104 BG
SIMILAR,CL MOXIFLOXACINO 400MG CPD/5 GN-EM+
GENERICO,CLORID TERBINAFINA CR 20G LAF-GENERICO BIS
PRODUTO DE LIMPEZA,DESINF.KALIPTO 750ML EUCALIPTO
PRODUTO DE LIMPEZA,LAVA ROUPAS PO TIXAN SACHET 1KG PRIMAVERA
ACESSORIO PARA CELULAR,IPHONE 7 PLUS ROSE GOLD 128GB MN4U2BZ/A APPLE PC
REFRIGERANTE,REFRI SODA LIMON ANTARCTICA LATA 350ML
REFRIGERANTE,REFRI FANTA LT 350ML LARANJA
CABELO,TINT LUMINOUS CR+OX CAST NAT 4.0
PRODUTO HOSPITALAR,SONDA DE FOLEY N 20 2 VIAS
ACESSORIO PARA BELEZA,PENTE CONDOR AQUAHAIR SM 150
CAFE,CAFE PILAO ALMOFADA FDO 1 X 20 250G
CORPO,ST.LIQ.DERMACYD INFANTIL 200ML
CORPO,DES AERO NIVEA FEM STRESS PROTECT 150ML UN/0001
MATERIAL PARA CONSTRUCAO,TORNEIRA PARA JARDIM
REFRIGERANTE,REFRIG. GUARANA 12X250ML INDAIA
UTENSILIO PARA O LAR,SABONETEIRA FLEX - ARTHI
SIMILAR,DIVIDOL 12 CAPS 101 CX
MATERIAL PARA ESCRITORIO E ESCOLAR,CALCULADORA SHENG TS-3822B
MATERIAL PARA CONSTRUCAO,LIXA FERRO GRAO 80 PC
SIMILAR,PARACETAMOL (DORSANOL) 750MG C/200 CPRS (MULTI) CX
ELETRONICO,TV CCE 14 POL LN14GW LED HDTV/HDMI/USB PC
PRODUTO FARMACEUTICO,FARINHA DA MULHER - 200G
PRODUTO DESCARTAVEL,BANDEJA B-2 AMARELA
VEICULO TERRESTRE,CG 150 FAN ESDI
CARNE BOVINA,COXAO MOLE BOV RESF FRIBOI KG
SUCO,REFR.LIQ.INDAIA MANGA PET BDJ 1 X 12 330ML
BISCOITO,BISCOITO MARIA ESTRELA 20X1 CX
LACTICINIO,KIBON CARIOCA 2L
BOMBONIERE,BAL MENTOS STICK YOGURT 38GX16
LACTICINIO,CR LEITE ITALAC TP 200G CX24
PRODUTO PARA ANIMAL,DOG SHOW SHAMPOO COND 6X1 500 ML FRC
ESPECIARIA,AMENDOIM TORR S/PELE EXCEL 150G 1
MATERIAL PARA CONSTRUCAO,CAIXA DESC ACOP AZAL/SAV BR CELITE PC
CABELO,COND PANTENE LISO EXTREMO 40 101 FR
CERVEJA,CERVEJA 343ML BUDWEISER KING LONG NECK PRD
CERVEJA,CERV.ITAIPAVA PREMIUM SLEE.LT.350ML
PRODUTO DE LIMPEZA,SAPOLIO RADIUM PEDRA 200G
ELETROPORTATEIS,(A)CORTA GALHOS 1167000 BIEHL PC
PRODUTO DE LIMPEZA,DETERGENTE CLEAR 500ML C/24 YPE CX
ALIMENTO PARA ANIMAL,FRISKIES PEDM PEIXES E FRT MAR 12X500GBR
PRODUTO PARA CONSERVACAO,INSETICIDA DOMLINE ULTRA BARATA 300ML
MATERIAL PARA CONSTRUCAO,SUPER BONDER 3G 2094022 PC
UTENSILIO PARA O LAR,FACA CHEF CENTURY - TRAMONTINA
REFRIGERANTE,REFRIG.PEPSI TWIST 2L
PRODUTO FARMACEUTICO,SERINGA 1ML C AGULHA 13X4,5
CABELO,SHAMPOO PANTENE BRILHO EXTREMO 200ML
REFERENCIA,HALDOL 1MG 20 COMP-C1 101 VD
BOMBONIERE,CARAMELO EMBARE DE LEITE 840GR PC
AVIAMENTO,FITA CETIM SIMP.NAJAR 02 PE C/10M OR-40 PC
SUCO,REFR PO MID MARACUJA 25G PA 15
REFERENCIA,POLARAMINE 10MG CRM 30G - OT 103 BG
CABELO,SHAMPOO QUINA ROSA 300ML HASKELL
BOMBONIERE,NUCITA BICOLOR 48 UND (24) CXT
SIMILAR,COLIRIO GEOLAB 20ML
PARTE E PECA PARA VEICULO,0915018 - FILTRO DE OLEO LUBRIFICANTE
REFERENCIA,REPOFLOR 200MG 6 CAPS 107 CX
AGUA,AGUA MINERAL CRYSTAL 500ML S/GAS UND
PARTE E PECA PARA VEICULO,CAMARA AR TRAS LEVORIN
VERDURA E LEGUME,MACAXEIRA 1KG KG
TIPO DE FERRAMENTA,BROCA P/CONCRETO ATC 08.0MM - 5/16
LACTICINIO,SORV CX 10L MARENI MORANGO
CORPO,DESODORANTE AEROSOL FEM STRESS PROT 150 ML UND.C/1X150 ML 4005808715688
PARTE E PECA PARA VEICULO,BATERIA 60 AMP M60GD MOURA
LACTICINIO,LEITE EM PO ITAMBE PRECIOSO 50X200GR
MACARRAO,MAC NISSIN LAMEN 4 QUEIJOS 88G CX 50
CORPO,DESC LIGHTNER REFIL 300G PROT.
TELEFONE FIXO,TEL S/F. INTELBRAS TS40 PRETO
CABELO,SHAMPOO INNOVATOR 1 L
REFERENCIA,LOSEC MUPS 20MG 14CPR ASTR CX
REFERENCIA,NEXIUM 20MG CX 14COMP REV
SIMILAR,HIDRAPLEX PO SABOR LARANJA
RELOGIO,REL.TOMMY HILFIGER, REF. 1790856, CX.ACO PC
AVIAMENTO,2 TOMADAS PAD 2P+T DIST 10A C/P SH
ALIMENTO CONDIMENTADO,MOLHO PRED P/ SALADA PARMESAN
ALIMENTO CONDIMENTADO,MAIONESE ODERICH BIS. 24X170G CX
CEREAL,CEREAL KELLOGGS 20G FROOT LOOPS
PRODUTO DE CONFEITARIA,RECHEIO MARACUJA FLEISCHMANN 4KG
CORPO,GEL PEIXE ELETRICO 250G
LACTICINIO,DANONE DANIO 125G PESSEGO
MATERIAL PARA ESCRITORIO E ESCOLAR,ENVELOPE SCRITY 229X324MM
PRODUTO FARMACEUTICO,FDA DESC PAMPERS SUPERSEC PC 109
CABELO,SH FRUCTIS 400ML LI AB QUIMIC
PERFUMARIA,COLONIA MY BABY 120ML GIULIANNA
TEMPERO,FOLHA DE LOURO ISHASHI CP 5G CX 12
SIMILAR,AEROFLUX EDULITO 120ML 102 FR
BOMBONIERE,BALAS DENTADURAS FINI C\100G
CARNE BOVINA,CARNE MOIDA BOVINA CONGELADA KG
DOCE E SOBREMESA,DOCE POLY POPULAR 12X600G BANANADA CX
REFERENCIA,DIUBLOK 50MG+12 5MG 30 COMP 102 CX
MATERIAL PARA ESCRITORIO E ESCOLAR,PASTA C/ELASTICO
ACESSORIO DE VESTUARIO,MEIA SOQUETE-77222-PP PAR
LEITE,LEITE NINHO SACHET INSTATANEO 800G
ACESSORIO DE VIAGEM,MALA DE VIAGEM
PRODUTO DE HIGIENE,PAPEL HIGIENICO SOLIS PREMIUM 8X300 FD
PRODUTO DE LIMPEZA,DESINF.ECONOMICO 1L CITRUS
TIPO DE VELA,VELA NOSSA SENHORA DE LOURDES N 8G
MATERIAL ELETRICO,LAMPADA PHILIPS H4 24V
PARTE E PECA PARA VEICULO,ROLAMENTO 6202 2RS
PRODUTO DE HIGIENE,ESCOVA CURAPROX AD.5460 MACIA
PRODUTO DE LIMPEZA,T.MANC.PO BRILUX B.LV500 PG450 CX
MATERIAL PARA CONSTRUCAO,JOELHO SOLD PVC 25MM 45G TIGRE PC
MATERIAL PARA CONSTRUCAO,TORNEIRA JARDIM 3/4 PT DURIN
VINHO,VH ARG SEPTIMA TTO GRAN RESERVA 750ML
SIMILAR,MOTORE 250MG CAPS60
SIMILAR,FLORATIL 200MG BLISTER6 VD
SIMILAR,BEPANTRIZ POMADA 30G
PRODUTO FARMACEUTICO,ABS INTIMUS GEL TRIP SECA CABAC32
GENERICO,MAXALGINA GTS 10ML (DIPIRONA) (NATUL)
SIMILAR,FLAMOSTAT 20MG CPD12
PERFUMARIA,#DES.LEITE COLONIA 100ML CD
ACESSORIO PARA BELEZA,CONJUTO DE LIXAS PARA UNHAS ARCO IRIS
SIMILAR,CR ASSAD HIPOGLOS 40G AMENDOAS
SIMILAR,IBUFLEX 100MGML SUSP 30ML
MACARRAO,FORTALEZA SEM NINHO 20X500 CX
LIVRO,LIVRO LOGICA 2
REFRIGERANTE,0000000149 - FANTA LARANJA PET 2L C6 CX
CERVEJA,0000000435 - KAISER 600ML C24 CX
SIMILAR,FLEBON 50MG CPD30
PAO,PAO HAMBURGUER INTEGRAL ROMANA 250G
SIMILAR,AMATO 25MG 60 COMP-C1 101 CX
GENERICO,HIDROCLOROTIAZIDA 25MG CPD30GNEMS
SIMILAR,DIANE 35 DRG21 CX
REFERENCIA,NOOTROPIL 800MG CAPS30 CX
SIMILAR,AIDE 3 LIMAO GTS 20ML
REFERENCIA,LUFTAL MAX 125MG CAPS10 CX
GENERICO,LORATAMED CPD12
CERVEJA,CERVEJA PILSEN ITAIPAVA LT 350ML
CARNE SUINA,PALETA SUINA KG
SIMILAR,CENEVIT ZINCO EFERV CPD30
MAQUIAGEM,CT BATOM POP LOVE MELANCIA
REFERENCIA,FRONTAL 2MG CP30 PB1 CX
MISTURA PRONTA,MISTURA BOLO COCO FLEISCHMANN (2100164) 450 GRS UND.C/1X450 GRS 7898409950643
CORPO,DES DOVE GOFRESH PEP CHA V AER 100G CX
SIMILAR,ESTREVA GEL 50G FR
PAO,FORTALEZA TORRADA LIGHT 32X160G PC
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA COMP.07 AZUL 100X1 PT
BISCOITO,PELAGGIO NAPOLITANO BISC RECHEADO NAPOLITANO 48X55 CX
PERFUMARIA,MALBEC ABSOLUTO DES COL 100ML VS2
CABELO,SH PAL NAT CORES BRILH 350ML
CORPO,DR DOVE 48H 50ML ORIGINAL
CABELO,OLEO CAP FRUCTIS CACHOPODEROSO100ML
PRODUTO FARMACEUTICO,TOALHA UMED JOHNSON C/48 EXTRA
TIPO DE GRAO,MILHO EM GRAO SC 50 KG .
CABELO,AT STILING POMADA MODELADORA 60MG
ALIMENTO CONDIMENTADO,MOLHO DE TOM.FUGINI 340GR PIZZA SACHE. 00.320613
CORPO,SAB GRANADO GLICERINA TRAD 90G
ALIMENTO EM CONSERVA,MILHO VERDE EM CONSERVA FUGINI 200GR SH 00.000902
TEMPERO,ALHO AMASSADO 1KG
REFERENCIA,MAXIDEX COL 5ML FR
PRODUTO PARA CONSERVACAO,RAID AERO*MATA BARATA 300ML
CEREAL,CEREAL BARRA TRIO AVECASTCHOCLIG20G
CABELO,CR TRAT PANTENE SUMMER AMP3
CEREAL,BARRA CEREAL BRIGADEIRO 22G HER
PRODUTO DE LIMPEZA,SAPOLIO RADIUM EM PO PINHO 300 G
ALIMENTO PRONTO,HOT POCKET X PICANHA SADIA 145G 1
TEMPERO,SAZON FLOPPY TOQUE DE ALHO
FRUTA,MAMAO FORMOSA KG
SIMILAR,EPAREMA LIQ 200ML FR
AVIAMENTO,ETIQUETA MARISOL TAM 4-- PC
CABELO,RELV REP CERAMIDAS 30ML*
SIMILAR,CONDROFLEX SACHE30
SUCO,REFRESCO MARATA 30G UVA
CABELO,CR TRAT PANTENE AMP1 DOURADA
SIMILAR,NEO FOLICO 5MG CPD20
ARROZ,ARROZ ITAGUARY TP1 PARB
REFERENCIA,PATANOL COL 5ML FR
GENERICO,ALPRAZOLAM 2MG CPR 1X30 (B1) GMD-GENERICO CX
DOCE E SOBREMESA,DOCE DE AMENDOIM POTE 1,20KG POTE
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD JANDAIA C.FORTE 60FL FROZEN 10UN
CEREAL,GRANOLA TIA SONIA 500G
CORPO,DES LEITE ROSAS 170ML 101
CERVEJA,VASILHAME AMBEV 300ML
CORPO,OLEO JJ BABY AMENDOA 200ML
ROSTO,CREME DE BARBEAR BOZZANO 65G
GENERICO,GEN ANLODIPINO 10MG 30 COMP CX
SIMILAR,SALSEP 360 SOL NAS 50ML LIBB CX
LACTICINIO,SORV FROSTY BRIGADEIRO 1L
PRODUTO DE HIGIENE,AB BIC SOLEIL C/2 AZUL
SIMILAR,SYSTANE UL COL 10ML
REFERENCIA,CRESTOR 5MG CPD/30
PRODUTO FARMACEUTICO,BOLSA TERMICA GEL
FRUTA,BANANA PRATA URUBURETAMA KG
PRODUTO FARMACEUTICO,LIMP DENTAD COREGA TABS EFERV24
PECA INTIMA,SUTIA TOMARA-QUE CAIA UNIVERSAL -TACA B PRETO 40B.EAN :7899558824281
PRODUTO FARMACEUTICO,FIX DENTAD COREGA PO 22G CX
ACUCAR,ACUCAR OLHO DAGUA 1KG CRISTAL FD30
PERFUMARIA,LAV T XUXINHA INF 120ML
TIPO DE PRODUTO,LUBRAX ESSENCIAL 2T - CXC40F1/2L CAF
PREPARACAO DE CARNE,PRESUNTO DE PERU SEARA KG
CORPO,SB LQ PROTEX 250ML CREAM
UNHAS,ESM RISQUE CINT STAR
SIMILAR,EUTHYROX 150MCG CPD C50 CX
CABELO,SHP GIBY CABECA PES 200ML
SIMILAR,NOVOPRAZOL 20MG 56CAPS (OMEPRAZOL)
BOMBONIERE,BALA FINI MINHOCAS CITRICAS 100G
SIMILAR,TORAGESIC SL 10MG CPD20
LACTICINIO,SORV.ICELIPS CREME BD 10L C 5,000 KG
PECA INTIMA,CALCINHA BIQUINI ACABAMENTO INVISIVEL CAMURCA P.EAN :7891306113913
PECA INTIMA,SUTIA MODELADOR ALCA COMFORT CAMURCA 52.EAN :7891306072555
SIMILAR,DECONGEX PLUS 12CPR ACHE CX
CORPO,DES OLD SPICE PURE SPORT AT AER93G
CORPO,DES TENYS PE BARUEL CANFOR AER 110G FR
CHINELO,SAND.HAV.SLI.MARINHO 37/8 CD
UTENSILIO DE LIMPEZA,ESPONJA SCOTCH BRITE ROSA NAO RISCA C/2
MAQUIAGEM,CT BRILHO ROLLETTE COM GLITTER MENTA
ELETRODOMESTICO,GEL ESMALTEC EGC35B BCO PC
CEREAL,BARRA TRIO PROTEIN CHOCOLATE 1X24X33G CXT
REFRIGERANTE,REFRIG.KUAT LT 350ML(E) BD12
COMBUSTIVEL,DIESEL COMUM B S10 L
PRODUTO DE LIMPEZA,DETERG LIQ UNO 500ML LIMAO CX24
SIMILAR,ADOLESS CPD28 FQM
SIMILAR,ARADOIS H 10025MG CPD60
SIMILAR,PRELONE 5MG CPD10
CABELO,TINT CASTING GLOSS LOURO NATURA 700
REFRIGERANTE,COCA-COLA PET 600ML UND
SIMILAR,CIFLOGEX LARANJA PAST12
MAQUIAGEM,AC U GLIMMER DELINEADOR PARA LABIOS NUDE
CABELO,SHP HEADSHOULDERS HIDRAT 200ML
BOMBONIERE,BALA FINI URSINHOS 100G
MEL,MEL ABELHA NECTAR FL 700G FR
FRUTA,COCO SECO KG KG1
ALIMENTO CONDIMENTADO,MOLHO ERVAS FINAS KENKO
LACTICINIO,BEB LAC POL PAULISTA MOR 540G
REFERENCIA,ATACAND HCT 8MG+125MG CPD30
PRODUTO FARMACEUTICO,LENCO UMED BABY POPPY C/450 RS
ALIMENTO CONDIMENTADO,NESTLE PAPINHA CAR LEG E MAND 6X115G BR CX
LACTICINIO,IOGURTE LACISIS DESNATADO 0% LACTOSE MORANGO 480GR
MATERIAL PARA CONSTRUCAO,LUVA SD.KRONA 25MM 50X1 PT
SIMILAR,GINKOMED 80MG CPD30
FRUTA,MACA ARGENTINA KG KG1
GENERICO,PREDNISONA 5MG CPD20 GNMEDLEY
PECA INTIMA,CALCINHA FIO DENTAL COM DETALHE EM RENDA PRETO G.EAN :7899625790877
SIMILAR,DECONGEX PLUS 12 COMP 105 CX
PRODUTO DE LIMPEZA,LAVA ROUPA LIQ OMO MULTIACAO 3L CX 4
ESPECIARIA,CANELA PO KITANO CART 50G 407 1
BISCOITO,BISC TODDY COOKIES BAUN C/GOTA CHOC 1X16X60G CXT
PERFUMARIA,COL SEIVA ALFAZEMA LAVANDA 118ML FR
CABELO,TINT IMEDIA EXCEL 7 LOURO NA 101
CABELO,CCT SKALA 1KG COQ.FRUTA
PRODUTO DESCARTAVEL,COPO DESC. MARATA 180ML 25X100UND CX
GENERICO,PROP CLOBETASOL CR 30G GNEMS
CEREAL,B-AVEIA FL.FINOS JASMINE PC.C/500G PC
LACTICINIO,MAGNUM CLASSICO PLT 18X100ML CLASSICO CX
BOMBONIERE,GOMA MASCAR MENTOS PURE FRUIT 56G 1
GENERICO,TENOXICAN 20MG CPD10 GNEMS CX
PRODUTO DESCARTAVEL,FILTRO DE PAPEL MARATA 103 1X30UND
CORPO,DES NIVEA AERO DRY IMPACT 50 101 CJ
CORPO,ASEPTOL.LIQ 90ML
BOMBONIERE,CHICLE BUBBALOO 60X5G HORTELA CXT CT
PRODUTO FARMACEUTICO,NUTREN ACTIVE PBIO1 BAUNILHA 12X400G BR
GENERICO,FUROATO MOMETASONA POM 20G GNMEDLE
UTENSILIO PARA O LAR,BOLO CHOCOLATE KG
PRODUTO DE LIMPEZA,LIMPADOR PERF UAU LAVANDA E CONFORTO 1X500ML GRF
LEITE,LEITE APTAMIL 1 400G
MACARRAO,MASSA PAGANINI SPAGHETTI 500G
FRUTA,MAMAO HAVAI ( PAPAYA ) KG
FRUTA,ABACAXI UN
MEDICAMENTO NAO CLASSIFICADO,INSUL NOVORAPID FLEXPEN SINGLPAC3ML
REFERENCIA,BETNOVATE CRM 30G 101 BG
REFERENCIA,LEXOTAN 3MG 30 COMP-B1 101 CX
SIMILAR,PROFLOX 500MG CPD C10 D2 + FR
PREPARACAO DE FRUTA,COCO RALADO ZAELI 48X50-CX CX
CORPO,DES NIVEA ROLL-ON SILV PROTE 101
PREPARACAO DE FRUTA,POLPA DE CAJA 1KG/BARRA-SA 5KG SC
PREPARACAO DE CARNE,RF.SALSICHA HOT DOG PERDIGAO CONG. PCT 1 X 1 5KG
ALIMENTO PARA ANIMAL,PEDIGREE ADULTO CARNE AO MOLHO 100G 1
TEMPERO,FOLHA LOURO KITANO 15433 ENV 1 X 1 4G
REFERENCIA,ALDOMET 500MG CPD30 CX
REFERENCIA,ANNITA 500MG 6 COMP 101 CX
SIMILAR,TORSILAX 30 COMP (CAFEIN+PAR 101 CX
REFERENCIA,SALONPAS GEL 40G 104 BG
SIMILAR,PLURAIR NASAL DOSE120
CABELO,COND PANTENE REPAR REJUV 200ML
PRODUTO FARMACEUTICO,FD PAMPERS PANTS PAC G16
CABELO,CR PENT TRESEMME SELCAPCRESORI300ML
PRODUTO DE HIGIENE,PERIOTRAT MENTA S/ ALCOOL 250ML - DENTAL F (HERTZ)
SUCO,REFRES.PO MAITA ABACAXI 15X25G PT
VERDURA E LEGUME,ALFACE MIMOSA HIDROPONICA
DOCE E SOBREMESA,BOLO MESCLADO FINOPAN 500G
BOMBONIERE,GOMA MASCAR TRIDENT FRESH 8G INTENSE DP 21
PREPARACAO DE CARNE,LINGUICA FININHA DEF. 240G CX
REFERENCIA,TRIQUILAR CPD C21
MATERIAL PARA ESCRITORIO E ESCOLAR,FITA DUREX 12MMX50M
SIMILAR,NATURETTI CAPS16 FR
CORPO,DES AMORAVEL BEAUTY SEDUCT AER 90G
BOMBONIERE,1 CX. SENSACOES FRANGO GRELHADO 45 BL
LIVRO,KTA-F.CIDADAOS KIT A 2.ANO REF
SAPATILHA,SAPATILHA-00101-18 PAR
GENERICO,PARAC+CAF 500+65MG CPD20 GN EMS
TEMPERO,TEMPERO REGINA CASEIRO 12X500ML CX
FERRAGEM,VERG CA50 10MM RT12M 1T NV KG
SAPATO,SAPATO DAKOTA WOLFORD PRETO 113 39 PR
FEIJAO,FEIJAO GOSTOZZO 1KG CARIOCA
LACTICINIO,CR LEITE TP NESTLE 200G
BOMBONIERE,TORTUGUITA 24X18G AO LEITE C/RECH BAUNIL CXT CT
MATERIAL PARA ESCRITORIO E ESCOLAR,GRAMPO 26/6 CX 5.000 UN COBREADO
LACTICINIO,MARGARINA BD 15KG PURO SABOR
UNHAS,ESM RISQUE CRM ROSE BOMBOM
PRODUTO DE HIGIENE,CR DTL SENSODYNE BRANQ EXTRAFR 50G
TIPO DE GRAO,LENTILHA YOKI 500G PC1
MATERIAL PARA CONSTRUCAO,TEXT FORTEX VERDE PRIMAVERA 28 KG
PRODUTO DE HIGIENE,PPL.HIG.PERS.VIP LV12 PG11 12X30M NEUTRO PVC11
FERRAGEM,VERGALHAO CA50 8.00MM(5/16)R12M NERV
AGUARDENTE,AGUARDENTE SAPUPARA 960ML PRATA 689727
MEDICAMENTO NAO CLASSIFICADO,GEN NARATRIPTANA 2 5MG 10 CO 101
SIMILAR,NARIDRIN AQUA SPRAY 50ML
TEMPERO,COLORIFICO DONA CLARA 1KG PC
CABELO,SKALA CR HID 1KG COQ ANTIQUEBRA*
SIMILAR,EGIDE 50MG CP60 PC1
PRODUTO DE HIGIENE,CRM DENTAL COLGATE PRO ALIVI 105 BG
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD FORONI BROCHURA 48FL COLOR 20UN
PRODUTO PARA ANIMAL,DIPIRONA GOTAS BIOVET 12X20ML
LACTICINIO,ACHOC PO ITALAC SACHE 24X200G CX
SIMILAR,DELTAMETRINA (DELTALAB) LOCAO 100ML (MULTI)
UTENSILIO PARA O LAR,GFA VIDRO 284ML,PEPSI COLA,RETORN.,,
GENERICO,BROMOPRIDA 10MG CAPS20 GNEMS CX
OVO DE AVE,OVO EXT BCO A C/30 CX C/360
PRODUTO DE HIGIENE,COLGATE ED SMILES 2-5 ANOS
PECA INTIMA,CALCINHA NUDE AVELA M.EAN :7899558814213
PRODUTO DE LIMPEZA,LAVA ROUPAS TIXAN YPE 500G PRIMAVERA
REFERENCIA,BEPANTOL MAMY CREME 150ML
SANDALIA,SANDALIA MELISSA BRANCO/PRE PR
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD S.DOMING. C.D. 1X1 SILVER 4X96FL
MAOS,CR NIVEA MAO SOFT NUTRIT MACAD 75G
PRODUTO FARMACEUTICO,LENC KLEENEX DERMOSEDA C/50 CX
SIMILAR,TAMISA 30MCG 21 COMP 102 CX
ARROZ,ARROZ PARB 30KG PAI JOAO FD
MEDICAMENTO NAO CLASSIFICADO,REVITAM JUNIOR 120ML FR
GENERICO,MELOXIGRAN 15MG CPD10 CX
CAFE,CAFE CABOCLO VACUO PURO SW 250G
SIMILAR,CELESTRAT 2MG CPD15
ALIMENTO CONDIMENTADO,MOLHO SALADA LIZA 234ML CASEIRO LIGHT PET FR
PRODUTO DE LIMPEZA,PRE LAV RESOLV 500ML 1
ROSTO,LEITE DE ROSAS 310ML TRADICION DZ
REFERENCIA,TYLENOL 750MG ENV CPD4|EMB: 50 UM
CORPO,DA DOVE FEM INVISIBLE DRY 100G
ACESSORIO PARA VEICULO,CHAVE LUZ TI150ESD -08/FAN150 11- MHX PC
REFERENCIA,NARAMIG 25MG CPD4
TEMPERO,AMAC.CARNE KITANO 15942 UND 1 X 1 1KG
LIVRO,CLASSICOS INFANTIS - O PATINHO FEIO
LACTICINIO,ACHOCOLATADO MARATA SACHET 24X200GR FD
LACTICINIO,MUCILON BLACTEA PPB ORIGINAL 27X190ML BR
BOMBONIERE,DROPS HALLS MENTA 21X34G DP
SIMILAR,DTN-FOL 90 CAPS 102 CX
UTENSILIO DE LIMPEZA,ESP TININDO M USO
REFERENCIA,EXELON 15MG CAP28 PC1 CX
PRODUTO DE LIMPEZA,ALVEJ VANISH PODER O2 120G
ALARME,CENTRAL DE ALARME SP 4000
VINHO,VINHO QUINTA DO MORGADO TINTO SUAVE UND 1 X 1 750ML
MATERIAL PARA ESCRITORIO E ESCOLAR,FITA DUREX COLOR 12X10 C/10 RL AMAR PC
PRODUTO DE LIMPEZA,NATIVA SPA ESTOJO REFIL AROMATIZADOR DE AMBIENTE MELISSA & ALECRIM 250ML
MATERIAL PARA ESCRITORIO E ESCOLAR,PLASTICO POLASEAL MBSET 66MX99M 977
PAO,PAO HAMBURGUER 350G GIPAN
FRUTA,SAPOTI KG KG1
PRODUTO DE LIMPEZA,DET PO OMO MULTI ACAO 5KG SC
VESTUARIO FEMININO,BLUSA MALHA MVS THIRTY PLUS M MARINHO RESORT PC
ROSTO,CR ANTIRRUGA REVITALIFTDIAFPS18 49G
PRODUTO FARMACEUTICO,ABSORVENTES PARA SEIOS 12UND 103 CX
SIMILAR,DIANE 35 21 DRG 105 CX
COMBUSTIVEL,OLEO DIESEL BS 10 L
CORPO,SB FARNESE 180G FRUT.VM
CABELO,SILIC CONCENT NIELY GOLD 1X42ML QUER ARG
PRODUTO DE LIMPEZA,AGUA SANIT BRILUX MULTI 6X2L CX
CARNE BOVINA,LAGARTO BOV RESF KG
MATERIAL PARA CONSTRUCAO,ADESIVO 75GR PULVITEC (E.30)
FARINHA E AMIDO,FLOCOS DE MILHO BONOMILHO 30X500G FD
GENERICO,FLUCONAZOL 2MG/ML BOLSA PLAST 100ML - GENERICO
FARINHA E AMIDO,FARINHA DE TRIGO INTEGRAL DONA MARIA 25KG SC
SUCO,SUCO KAPO 200ML UVA
